연도,월,지역,국가,관광객수
2009,9,미주,코스타리카,174
2009,10,미주,미국,53166
2009,10,미주,캐나다,9992
2009,10,미주,브라질,1971
2009,10,미주,도미니카공화국,140
2009,10,미주,자메이카,11
2009,10,미주,과테말라,626
2009,10,미주,칠레,520
2009,10,미주,코스타리카,231
2009,11,미주,미국,49710
2009,11,미주,캐나다,6298
2009,11,미주,브라질,2210
2009,11,미주,도미니카공화국,166
2009,11,미주,자메이카,26
2009,11,미주,과테말라,560
2009,11,미주,칠레,511
2009,11,미주,코스타리카,192
2009,12,미주,미국,80565
2009,12,미주,캐나다,10286
2009,12,미주,브라질,2474
2009,12,미주,도미니카공화국,137
2009,12,미주,자메이카,16
2009,12,미주,과테말라,911
2009,12,미주,칠레,756
2009,12,미주,코스타리카,311
2010,1,미주,미국,98629
2010,1,미주,캐나다,10271
2010,1,미주,브라질,2857
2010,1,미주,도미니카공화국,288
2010,1,미주,자메이카,22
2010,1,미주,과테말라,875
2010,1,미주,칠레,1322
2010,1,미주,코스타리카,340
2010,1,미주,페루,7811
2010,1,미주,에콰도르,50
2010,2,미주,미국,64648
2010,2,미주,캐나다,8179
2010,2,미주,브라질,2539
2010,2,미주,도미니카공화국,263
2010,2,미주,자메이카,4
2010,2,미주,과테말라,502
2010,2,미주,칠레,760
2010,2,미주,코스타리카,249
2010,2,미주,에콰도르,41
2010,3,미주,미국,68094
2010,3,미주,캐나다,9852
2010,3,미주,브라질,2518
2010,3,미주,도미니카공화국,221
2010,3,미주,자메이카,12
2010,3,미주,과테말라,586
2010,3,미주,칠레,603
2010,3,미주,코스타리카,276
2010,3,미주,에콰도르,40
2010,4,미주,미국,70945
2010,4,미주,캐나다,10544
2010,4,미주,브라질,2168
2010,4,미주,도미니카공화국,164
2010,4,미주,자메이카,26
2010,4,미주,과테말라,771
2010,4,미주,칠레,501
2010,4,미주,코스타리카,246
2010,4,미주,에콰도르,40
2010,5,미주,미국,94332
2010,5,미주,캐나다,15528
2010,5,미주,브라질,2394
2010,5,미주,도미니카공화국,222
2010,5,미주,자메이카,23
2010,5,미주,과테말라,584
2010,5,미주,칠레,433
2010,5,미주,코스타리카,230
2010,5,미주,에콰도르,64
2010,6,미주,미국,101045
2010,6,미주,캐나다,21838
2010,6,미주,브라질,2325
2010,6,미주,도미니카공화국,217
2010,6,미주,자메이카,40
2010,6,미주,과테말라,652
2010,6,미주,칠레,382
2010,6,미주,코스타리카,299
2010,6,미주,에콰도르,49
2010,7,미주,미국,128711
2010,7,미주,캐나다,27087
2010,7,미주,브라질,2608
2010,7,미주,도미니카공화국,279
2010,7,미주,자메이카,16
2010,7,미주,과테말라,879
2010,7,미주,칠레,248
2010,7,미주,코스타리카,273
2010,7,미주,에콰도르,54
2010,8,미주,미국,119191
2010,8,미주,캐나다,21047
2010,8,미주,브라질,3134
2010,8,미주,도미니카공화국,207
2010,8,미주,자메이카,102
2010,8,미주,과테말라,914
2010,8,미주,칠레,252
2010,8,미주,코스타리카,312
2010,8,미주,에콰도르,48
2010,9,미주,미국,97350
2010,9,미주,캐나다,14849
2010,9,미주,브라질,2301
2010,9,미주,도미니카공화국,141
2010,9,미주,자메이카,15
2010,9,미주,과테말라,621
2010,9,미주,칠레,182
2010,9,미주,코스타리카,197
2010,9,미주,에콰도르,46
2010,10,미주,미국,91134
2010,10,미주,캐나다,12104
2010,10,미주,브라질,2459
2010,10,미주,도미니카공화국,103
2010,10,미주,자메이카,37
2010,10,미주,과테말라,756
2010,10,미주,칠레,284
2010,10,미주,코스타리카,218
2010,10,미주,에콰도르,54
2010,11,미주,미국,80737
2010,11,미주,캐나다,7146
2010,11,미주,브라질,2868
2010,11,미주,도미니카공화국,152
2010,11,미주,자메이카,56
2010,11,미주,과테말라,793
2010,11,미주,칠레,634
2010,11,미주,코스타리카,271
2010,11,미주,에콰도르,30
2010,12,미주,미국,92702
2010,12,미주,캐나다,11508
2010,12,미주,브라질,2688
2010,12,미주,도미니카공화국,211
2010,12,미주,자메이카,22
2010,12,미주,과테말라,877
2010,12,미주,칠레,940
2010,12,미주,코스타리카,325
2010,12,미주,에콰도르,33
