대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD312057ZF2,MHJ-PRD312057ZF2,상시,상시,정보없음(항공불포함),302313,302313,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 데이투어A (가이드+차량. 주요코스: 보타닉가든+동물원+깜퐁글람+차이나타운+센토사),5.0,2
MHJ-PRD35E98CHZQ,MHJ-PRD35E98CHZQ,상시,상시,정보없음(항공불포함),138153,138153,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 핵심시티 & 야경 완판왕: 내셔널갤러리&강변+머라이언공원+리버보트+스펙트라+랩소디+사테거리+루프탑,5.0,2
MHJ-PRD298F1F6IM,MHJ-PRD298F1F6IM,상시,상시,정보없음(항공불포함),6559,6559,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[싱가포르 유심] 데이터 무제한 싱가포르 유심칩 도시락유심 공항수령,,0
MHJ-PRD496B52R0R,MHJ-PRD496B52R0R,상시,상시,정보없음(항공불포함),61391,61391,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 빅버스 이용권 (1일권. 2일권. 야간투어),,0
MHJ-PRD275C5LXUO,MHJ-PRD275C5LXUO,상시,상시,정보없음(항공불포함),58900,58900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 래플즈의 발자취를 따라 역사투어 (국립박물관+포트캐닝+내셔널갤러리+보트키 강변),5.0,1
MHJ-PRD05221IOOR,MHJ-PRD05221IOOR,상시,상시,정보없음(항공불포함),15578,15578,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[즉시확정][싱가포르] 윙스 오브 타임 불꽃놀이 심포니 관람 티켓,,0
MHJ-PRD33915EFZO,MHJ-PRD33915EFZO,상시,상시,정보없음(항공불포함),302313,302313,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 데이투어B (가이드+차량. 주요코스: 머라이언공원+리버원더스+오차드+부기스+가든스바이더베이 1돔+스카이팍),,0
MHJ-PRD18A3DCYNQ,MHJ-PRD18A3DCYNQ,상시,상시,정보없음(항공불포함),13707,13707,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 내셔널 갤러리 입장권,4.0,1
MHJ-PRD31205KSZH,MHJ-PRD31205KSZH,상시,상시,정보없음(항공불포함),64800,64800,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 단독 투어!! (맞춤 코스 데이투어),,0
MHJ-PRD27242R4KW,MHJ-PRD27242R4KW,상시,상시,정보없음(항공불포함),21583,21583,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[동남아 유심] 무제한 데이터 싱가포르 말레이시아 베트남 태국 유심칩 공항수령,,0
MHJ-PRD3866BMZIT,MHJ-PRD3866BMZIT,상시,상시,정보없음(항공불포함),32968,32968,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 어드벤처 코브 워터파크 입장권,,0
MHJ-PRD1D85DMVEL,MHJ-PRD1D85DMVEL,상시,상시,정보없음(항공불포함),5335,5335,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[즉시확정][싱가포르] 마리나베이샌즈 아트사이언스 뮤지엄 입장권,,0
