대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD13A8C5OEJ,MHJ-PRD13A8C5OEJ,상시,상시,정보없음(항공불포함),119000,119000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[단독투어] 판랑 지프 투어- 단독 차량 10시간 이용 가능- 나트랑 출발,,0
MHJ-PRD13A29PVCZ,MHJ-PRD13A29PVCZ,상시,상시,정보없음(항공불포함),59400,59400,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑 달랏] 나트랑 달랏 투어 렌트카 관광지 올데이 투어,,0
MHJ-PRD35D6CK0U1,MHJ-PRD35D6CK0U1,상시,상시,정보없음(항공불포함),21729,21729,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,레스토랑,[나트랑] 응온갤러리 씨푸드 디너 뷔페,,0
MHJ-PRD13A2917KI,MHJ-PRD13A2917KI,상시,상시,정보없음(항공불포함),57132,57132,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 릴렉싱 체크아웃투어 픽업샌딩 미니호텔 마사지,,0
MHJ-PRD3ABF0PL3V,MHJ-PRD3ABF0PL3V,상시,상시,정보없음(항공불포함),24899,24899,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 서울이발관  (귀청소.샴푸마사지.손톱.발톱손질.쏨모이가든 근처),,0
MHJ-PRD050F5TA8Q,MHJ-PRD050F5TA8Q,상시,상시,정보없음(항공불포함),39900,39900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 내 맘대로 일정 미니비치 프라이빗 투어 (스피드보트 조인 단독),,0
MHJ-PRD41FF4QD4P,MHJ-PRD41FF4QD4P,상시,상시,정보없음(항공불포함),9822,9822,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[나트랑] 웰컴팩 OR 굿바이팩 (BIDV 호텔 1박 (2인 1실) 공항 픽업 또는 샌딩),,0
MHJ-PRD3AD80VE0Q,MHJ-PRD3AD80VE0Q,상시,상시,정보없음(항공불포함),22764,22764,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[나트랑] 클로버스파_#나트랑마사지_#나트랑스파,,0
MHJ-PRD07803ZRGY,MHJ-PRD07803ZRGY,상시,상시,정보없음(항공불포함),117720,117720,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,렌터카,[나트랑] 나트랑 무이네 이동 프라이빗 렌트카 편도 왕복 차량,,0
MHJ-PRD13A29HCDK,MHJ-PRD13A29HCDK,상시,상시,정보없음(항공불포함),67932,67932,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 양베이 테마파크 투어 나트랑근교/픽업샌딩포함,,0
MHJ-PRD2717EVTZM,MHJ-PRD2717EVTZM,상시,상시,정보없음(항공불포함),31903,31903,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,★최강특가★[나트랑 깜란지역 ] VIP입국심사 + 공항 픽업차량_#깜란지역+#안전하게+#티라운지 미팅,,0
MHJ-PRD1B212QDYK,MHJ-PRD1B212QDYK,상시,상시,정보없음(항공불포함),395910,395910,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[달랏] 나트랑에서 떠나는 달랏 1박 2일 단독 차량 이용 서비스 (#차량이용 #단독 #베트남 #스타인월드),,0
MHJ-PRD187E65HKR,MHJ-PRD187E65HKR,상시,상시,정보없음(항공불포함),36147,36147,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 판랑 사막 단독 지프투어(전지역 픽업샌딩/일출.오전.선셋선택)*성인요금 기준,,0
MHJ-PRD2C3E7UNHH,MHJ-PRD2C3E7UNHH,상시,상시,정보없음(항공불포함),159000,159000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[한국어가이드/노팁] 리무진 차량 나트랑 출발 달랏 데이투어 (시내픽드랍무료/노팁),,0
MHJ-PRD09F157VZL,MHJ-PRD09F157VZL,상시,상시,정보없음(항공불포함),22680,22680,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,레스토랑,[나트랑] 앰버서더 클럽 씨푸드 랍스터 뷔페 디너쇼 밀패키지 이용권,,0
MHJ-PRD02B72CAUR,MHJ-PRD02B72CAUR,상시,상시,정보없음(항공불포함),247071,247071,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑/달랏] 단독 달랏 데이투어 렌터카 이용 서비스(#이동서비스#차량당요금#프라이빗#베트남#스타인월드),,0
