대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD09E4BPKZW,MHJ-PRD09E4BPKZW,상시,상시,정보없음(항공불포함),18230,18230,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[베트남] 다낭국제공항 패스트트랙_VIP서비스. 빠른 입국,5.0,7
MHJ-PRD30E20W2NE,MHJ-PRD30E20W2NE,상시,상시,정보없음(항공불포함),16711,16711,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[베트남] 다낭국제공항 패스트트랙_VIP서비스. 빠른 출국,5.0,9
MHJ-PRD09F13TRQE,MHJ-PRD09F13TRQE,상시,상시,정보없음(항공불포함),2688,2688,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[베트남] 다낭공항 픽업샌딩 예약서비스 (시내/호이안/남호이안 호텔),4.0,9
MHJ-PRD4945C3QUB,MHJ-PRD4945C3QUB,상시,상시,정보없음(항공불포함),7823,7823,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,★최강특가★[다낭] 베트남 차밍쇼 티켓,4.0,4
MHJ-PRD075A7H4WO,MHJ-PRD075A7H4WO,상시,상시,정보없음(항공불포함),5900,5900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[다낭] 프라이빗! 우리끼리 이동~ 공항픽업/샌딩_#호텔간이동+#한국업체+#연착무관,5.0,1
MHJ-PRD09F13JZUI,MHJ-PRD09F13JZUI,상시,상시,정보없음(항공불포함),17212,17212,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 모조 마사지_MOJO SPA+신규 오픈+모던한+아름다운 향,5.0,1
MHJ-PRD3384EAQL0,MHJ-PRD3384EAQL0,상시,상시,정보없음(항공불포함),846,846,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[베트남 이심] 5G 데이터 무제한 유심 푸꾸옥 다낭 나트랑 비나폰 4일 e심 eSIM,4.5,20
MHJ-PRD1AF56TIUE,MHJ-PRD1AF56TIUE,상시,상시,정보없음(항공불포함),7935,7935,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[베트남유심] 해외유심 통화 데이터 무제한 다낭 호치민 하노이 푸꾸옥 유심칩 인천 공항수령,5.0,6
MHJ-PRD3AA5CXHYG,MHJ-PRD3AA5CXHYG,상시,상시,정보없음(항공불포함),73833,73833,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 바나힐 일일 투어 #가이드동행 #호텔픽업드랍(공항) #입장권 #왕복케이블카,4.5,8
MHJ-PRD1156BA1JK,MHJ-PRD1156BA1JK,상시,상시,정보없음(항공불포함),37500,37500,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,다낭 참섬 투어 (다낭.호이안 픽업 드랍. 호핑. 어촌마을.스노클링),5.0,3
MHJ-PRD16264OJWM,MHJ-PRD16264OJWM,상시,상시,정보없음(항공불포함),57729,57729,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭]패스트트랙_VIP 빠른 출국+ #CIP 라운지 3시간 이용,,0
MHJ-PRD20093IOPH,MHJ-PRD20093IOPH,상시,상시,정보없음(항공불포함),49900,49900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 바나힐 체크아웃 단독 투어 (한국인전용.12시간.케이블.골든브릿지.공항드랍가능),3.5,4
MHJ-PRD38350ULK0,MHJ-PRD38350ULK0,상시,상시,정보없음(항공불포함),7823,7823,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭][16:00 출발] 호이안 왕복 셔틀버스_짐보관+다낭티라운지,5.0,2
MHJ-PRD38350NTGX,MHJ-PRD38350NTGX,상시,상시,정보없음(항공불포함),16429,16429,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭]바나힐 와우패스 ONLY_#케이블카 대기줄 없이 바로타기+#WOW PASS,1.0,2
MHJ-PRD1B0E6XZCC,MHJ-PRD1B0E6XZCC,상시,상시,정보없음(항공불포함),92001,92001,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭]참섬 럭셔리 스노클링&씨워킹_#호텔픽업+#중식포함,4.0,1
MHJ-PRD075A7OCSF,MHJ-PRD075A7OCSF,상시,상시,정보없음(항공불포함),69000,69000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 내맘대로~바나힐 현지투어_#우리끼리+#바나힐입장권+#실시간응대서비스+#12시간 차량이용+#공항or호텔샌딩+#단독투어,5.0,2
MHJ-PRD31013VYTA,MHJ-PRD31013VYTA,상시,상시,정보없음(항공불포함),31295,31295,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭] 아오자이 쇼_베트남전통의상+판타스틱쇼+퍼포먼스,5.0,1
MHJ-PRD02A46BLON,MHJ-PRD02A46BLON,상시,상시,정보없음(항공불포함),167735,167735,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭][단독 투어] 바나힐 & 올드타운 야경(소원초) 올인원 투어+미노스파 #14시간 #전기차체험 #런치뷔페 #90분마사지,5.0,1
